ticker,years,estimate,ci_lower,ci_upper,loss_pct,ci_loss_lower,ci_loss_upper,method,exceedance_prob
EGIE3.SA,10,-0.1291364869520888,-0.4598853835226512,0.07992612572977481,12.91364869520888,7.992612572977481,45.98853835226512,gev,0.00873015873015873
EGIE3.SA,20,0.01892974924714297,-0.35722909287180576,0.28469675272273753,1.8929749247142968,28.469675272273754,35.72290928718058,gev,0.004365079365079365
EGIE3.SA,50,0.170964850190086,-0.264084171881487,0.48662731945613186,17.0964850190086,48.66273194561319,26.408417188148697,gev,0.001746031746031746
GGBR4.SA,1,-0.7887800254653208,-0.9448948065827216,-0.6515498725481935,78.87800254653207,65.15498725481935,94.48948065827216,gev,0.0873015873015873
GGBR4.SA,5,-0.27706161070817803,-0.49467733283248877,-0.15791843944858808,27.706161070817803,15.791843944858808,49.467733283248876,gev,0.01746031746031746
GGBR4.SA,10,-0.14734607890729867,-0.3953321082083162,-0.02340895114634648,14.734607890729867,2.340895114634648,39.53321082083162,gev,0.00873015873015873
GGBR4.SA,20,-0.05113534096111172,-0.3248281456052706,0.09759865038783377,5.113534096111172,9.759865038783378,32.48281456052706,gev,0.004365079365079365
GGBR4.SA,50,0.03926955122995279,-0.263561895259154,0.1949693614875273,3.9269551229952793,19.49693614875273,26.3561895259154,gev,0.001746031746031746
ITUB4.SA,1,-0.8163781960175149,-0.9836094824258217,-0.6649086088016699,81.63781960175149,66.49086088016699,98.36094824258217,gev,0.0873015873015873
ITUB4.SA,5,-0.2381436312114853,-0.4903435063522332,-0.07812490620068654,23.81436312114853,7.812490620068655,49.03435063522332,gev,0.01746031746031746
ITUB4.SA,10,-0.08015497129365645,-0.3725209746959503,0.08423965987832972,8.015497129365645,8.423965987832972,37.25209746959503,gev,0.00873015873015873
ITUB4.SA,20,0.042049317251997564,-0.28566758699624906,0.24809633966158195,4.204931725199756,24.809633966158195,28.566758699624906,gev,0.004365079365079365
ITUB4.SA,50,0.16251219396087624,-0.20926951633335952,0.40166582682147717,16.251219396087624,40.16658268214772,20.926951633335953,gev,0.001746031746031746
LREN3.SA,1,-1.0009179322163788,-1.1827969565560839,-0.8237823940580098,100.09179322163789,82.37823940580098,118.27969565560838,gev,0.0873015873015873
LREN3.SA,5,-0.3194538827969051,-0.6231260211636895,-0.09317641974525503,31.945388279690512,9.317641974525504,62.31260211636895,gev,0.01746031746031746
LREN3.SA,10,-0.11331290903729219,-0.4742334058565959,0.13383551447324465,11.331290903729219,13.383551447324466,47.42334058565959,gev,0.00873015873015873
LREN3.SA,20,0.05558705725306501,-0.35873858648099,0.36409736859960606,5.558705725306501,36.4097368599606,35.873858648099,gev,0.004365079365079365
LREN3.SA,50,0.23341593422371387,-0.25176082091275126,0.6224534288888982,23.34159342237139,62.24534288888982,25.176082091275127,gev,0.001746031746031746
PCAR3.SA,1,-0.8534951527759489,-1.0201496389915432,-0.7028808640724181,85.34951527759489,70.2880864072418,102.01496389915432,gev,0.0873015873015873
PCAR3.SA,5,-0.27903294809890333,-0.5291966449675181,-0.12180565927376816,27.903294809890333,12.180565927376815,52.91966449675181,gev,0.01746031746031746
PCAR3.SA,10,-0.12292223958353565,-0.41255773133074813,0.038573789112276324,12.292223958353565,3.8573789112276327,41.25577313307481,gev,0.00873015873015873
PCAR3.SA,20,-0.0025373747101675725,-0.3268167417031455,0.19925555268207873,0.25373747101675725,19.925555268207873,32.68167417031455,gev,0.004365079365079365
PCAR3.SA,50,0.1157203464232226,-0.25156846951762735,0.348351028012479,11.57203464232226,34.8351028012479,25.156846951762734,gev,0.001746031746031746
PETR4.SA,1,-0.6583622184597098,-0.8168993127238271,-0.5195664687744304,65.83622184597098,51.956646877443035,81.68993127238271,gev,0.0873015873015873
PETR4.SA,5,-0.15501303809931777,-0.36548371502897886,-0.05109692465190481,15.501303809931777,5.109692465190481,36.548371502897886,gev,0.01746031746031746
PETR4.SA,10,-0.033458862812612455,-0.2706672831561135,0.0740198267212808,3.3458862812612455,7.40198267212808,27.06672831561135,gev,0.00873015873015873
PETR4.SA,20,0.05430073080070352,-0.20422059628155326,0.1773618090628275,5.430073080070352,17.73618090628275,20.422059628155324,gev,0.004365079365079365
PETR4.SA,50,0.13427141859505287,-0.14700658485662313,0.2633389711928051,13.427141859505287,26.333897119280508,14.700658485662313,gev,0.001746031746031746
RADL3.SA,1,-0.9463358350315496,-1.1178448587775522,-0.7856920944132518,94.63358350315497,78.56920944132519,111.78448587775523,gev,0.0873015873015873
RADL3.SA,5,-0.3293072947431108,-0.6011518601699231,-0.14604112972959285,32.93072947431108,14.604112972959285,60.115186016992304,gev,0.01746031746031746
RADL3.SA,10,-0.1539072522092404,-0.47205078654172644,0.03808329654684443,15.39072522092404,3.808329654684443,47.205078654172645,gev,0.00873015873015873
RADL3.SA,20,-0.015172285699974974,-0.3749880420418087,0.22874751552598604,1.5172285699974974,22.874751552598603,37.49880420418087,gev,0.004365079365079365
RADL3.SA,50,0.1251201544498146,-0.2879812275984497,0.4122826058956534,12.512015444981461,41.22826058956534,28.79812275984497,gev,0.001746031746031746
RAIL3.SA,1,-1.1864896825455031,-1.361514025758813,-1.010616815943468,118.64896825455031,101.06168159434681,136.1514025758813,gev,0.0873015873015873
RAIL3.SA,5,-0.512369094427394,-0.8141990202569691,-0.271862758595599,51.236909442739396,27.1862758595599,81.41990202569691,gev,0.01746031746031746
RAIL3.SA,10,-0.2996090878549067,-0.6622945209033342,-0.02835835145523307,29.96090878549067,2.835835145523307,66.22945209033342,gev,0.00873015873015873
RAIL3.SA,20,-0.12101236855860042,-0.5418392194313368,0.20788629775642617,12.101236855860042,20.788629775642615,54.18392194313368,gev,0.004365079365079365
RAIL3.SA,50,0.072320589276063,-0.4275252610228992,0.50747084678464,7.2320589276063,50.747084678464006,42.75252610228992,gev,0.001746031746031746
RENT3.SA,1,-1.0564859947134142,-1.2142347318227544,-0.9103426478004857,105.64859947134141,91.03426478004857,121.42347318227544,gev,0.0873015873015873
RENT3.SA,5,-0.4961500533445524,-0.7423288696308903,-0.3332557614342661,49.61500533445524,33.32557614342661,74.23288696308903,gev,0.01746031746031746
RENT3.SA,10,-0.3387506033951828,-0.6260289641829726,-0.16910876021797555,33.875060339518285,16.910876021797556,62.60289641829726,gev,0.00873015873015873
RENT3.SA,20,-0.21508728282451495,-0.5390999640443676,-0.0003514168738307569,21.508728282451493,0.03514168738307569,53.909996404436754,gev,0.004365079365079365
RENT3.SA,50,-0.09099289820384593,-0.46164295280974127,0.16112503524696375,9.099289820384593,16.112503524696375,46.16429528097413,gev,0.001746031746031746
SANB11.SA,1,-0.9367370621108895,-1.1097700765350516,-0.7795234859550723,93.67370621108894,77.95234859550723,110.97700765350515,gev,0.0873015873015873
SANB11.SA,5,-0.3360964948495959,-0.5984248949315626,-0.1684820500474794,33.60964948495959,16.84820500474794,59.84248949315626,gev,0.01746031746031746
SANB11.SA,10,-0.17117949213169226,-0.475640551646967,0.0013125301752184185,17.117949213169226,0.13125301752184185,47.5640551646967,gev,0.00873015873015873
SANB11.SA,20,-0.04326392753448127,-0.3848998245570014,0.17354719066614988,4.326392753448127,17.354719066614987,38.48998245570014,gev,0.004365079365079365
SANB11.SA,50,0.0832266084543325,-0.30491839909535134,0.3357647532708041,8.32266084543325,33.57647532708041,30.491839909535134,gev,0.001746031746031746
SUZB3.SA,1,-0.8595963888844518,-1.0156655315756065,-0.7213369827970272,85.95963888844518,72.13369827970271,101.56655315756065,gev,0.0873015873015873
SUZB3.SA,5,-0.33765614682131373,-0.5614798692123497,-0.20956664874793143,33.76561468213137,20.956664874793145,56.147986921234974,gev,0.01746031746031746
SUZB3.SA,10,-0.2024024580711492,-0.45870118266607796,-0.06975821114073917,20.24024580711492,6.975821114073917,45.8701182666078,gev,0.00873015873015873
SUZB3.SA,20,-0.10084298402366398,-0.3849663248205239,0.05943937459789446,10.084298402366398,5.943937459789446,38.49663248205239,gev,0.004365079365079365
SUZB3.SA,50,-0.004065044871970791,-0.3206125133492418,0.17021818152978582,0.4065044871970791,17.021818152978582,32.06125133492418,gev,0.001746031746031746
TAEE11.SA,1,-0.7283189379075714,-0.907259439801023,-0.5584184741097721,72.83189379075714,55.84184741097721,90.7259439801023,gev,0.0873015873015873
TAEE11.SA,5,-0.07336523082015667,-0.36343753763405084,0.13050579443445123,7.336523082015667,13.050579443445123,36.34375376340508,gev,0.01746031746031746
TAEE11.SA,10,0.11755080091175074,-0.2240201394023664,0.33415043239513503,11.755080091175074,33.4150432395135,22.40201394023664,gev,0.00873015873015873
TAEE11.SA,20,0.270719491848042,-0.11788548585962272,0.5458855169971831,27.0719491848042,54.588551699718316,11.788548585962271,gev,0.004365079365079365
TAEE11.SA,50,0.4281463228844835,-0.02150889127284495,0.7555673656933051,42.81463228844835,75.55673656933051,2.150889127284495,gev,0.001746031746031746
VALE3.SA,1,-0.7853797803481728,-0.9526635681062455,-0.6270694200516572,78.53797803481729,62.70694200516572,95.26635681062456,gev,0.0873015873015873
VALE3.SA,5,-0.17570947443438856,-0.44535578501894324,0.01147885791332129,17.570947443438854,1.147885791332129,44.53557850189432,gev,0.01746031746031746
VALE3.SA,10,0.0007706043558486364,-0.31620219821789475,0.19875737758345946,0.07706043558486364,19.875737758345945,31.620219821789476,gev,0.00873015873015873
VALE3.SA,20,0.14179894811138638,-0.21822343347504355,0.39408553011918485,14.179894811138638,39.408553011918485,21.822343347504354,gev,0.004365079365079365
VALE3.SA,50,0.2860936523447015,-0.1295756468142165,0.5845547345767953,28.609365234470154,58.45547345767953,12.95756468142165,gev,0.001746031746031746
WEGE3.SA,1,-0.7874228388563178,-0.9485622399404664,-0.6414164141525928,78.74228388563178,64.14164141525927,94.85622399404664,gev,0.0873015873015873
WEGE3.SA,5,-0.22996949976808123,-0.4731463878271134,-0.0755436635106231,22.996949976808125,7.55436635106231,47.31463878271134,gev,0.01746031746031746
WEGE3.SA,10,-0.0775627480009442,-0.3595108015644553,0.08112753694674082,7.75627480009442,8.112753694674083,35.95108015644553,gev,0.00873015873015873
WEGE3.SA,20,0.040365735209864084,-0.2757164998960273,0.23933184356986623,4.036573520986408,23.933184356986622,27.571649989602733,gev,0.004365079365079365
WEGE3.SA,50,0.15666082373214296,-0.20199011005629355,0.3877087460780513,15.666082373214296,38.770874607805126,20.199011005629355,gev,0.001746031746031746
PORTFOLIO,1,-0.005363414698431339,-0.006650088016417184,-0.004861607535394297,0.5363414698431339,0.4861607535394297,0.6650088016417184,copula_mc,0.0873015873015873
PORTFOLIO,5,-0.009202082733585965,-0.019847226712768305,-0.01655959389803866,0.9202082733585965,1.6559593898038663,1.9847226712768304,copula_mc,0.01746031746031746
PORTFOLIO,10,-0.010413479858930324,-0.02382830069901738,-0.021067454052679808,1.0413479858930323,2.1067454052679806,2.382830069901738,copula_mc,0.00873015873015873
PORTFOLIO,20,-0.01169058528262071,-0.02854757319245499,-0.023737453191158314,1.169058528262071,2.3737453191158315,2.8547573192454987,copula_mc,0.004365079365079365
PORTFOLIO,50,-0.013005064008577073,-0.037954599989997534,-0.02767092818829474,1.3005064008577074,2.767092818829474,3.7954599989997533,copula_mc,0.001746031746031746
